"Language","original","english","french","russian",
"AX50S_00","Accuracy International AX50","Accuracy International AX50","Accuracy International AX50","Accuracy International AX50",
"AX50S_01","In February 2009, the US SOCOM (United States Special Operations Command) announced a tender for the development and delivery of a new PSR (Precision Sniper Rifle) sniper rifle. Among others, the well-known British company "Accuracy International" (AI) took part in the competition, presenting in early 2010 a new rifle of the "AX" model range. Uses .50BMG "cartridge","In February 2009, the US SOCOM (United States Special Operations Command) announced a tender for the development and delivery of a new PSR (Precision Sniper Rifle) sniper rifle. Among others, the well-known British company "Accuracy International" (AI) took part in the competition, presenting in early 2010 a new rifle of the "AX" model range. Uses .50BMG "cartridge","En février 2009, l'US SOCOM (United States Special Operations Command) a annoncé un appel d'offres pour le développement et la livraison d'un nouveau fusil de précision PSR (Precision Sniper Rifle). Entre autres, la célèbre société britannique "Accuracy International" (AI) a participé au concours en présentant début 2010 un nouveau fusil de la gamme de modèles "AX". Utilise .50BMG "cartouche","В феврале 2009 года US SOCOM (Командование специальных операций США) объявило тендер на разработку и поставку новой снайперской винтовки PSR (Precision Sniper Rifle). В конкурсе приняла участие, в том числе, известная британская компания Accuracy International (AI), представив в начале 2010 года новую винтовку из модельного ряда «AX». Используйте патрон .50BMG ",
"M60_01","American single machine gun, developed in the post-war years and adopted by the Army and Marine Corps in 1957. For design flaws and appearance, he received the nickname English. the pig - "pig". Uses cartridge 7.62x51 (308win)","American single machine gun, developed in the post-war years and adopted by the Army and Marine Corps in 1957. For design flaws and appearance, he received the nickname English. the pig - "pig". Uses cartridge 7.62x51 (308win)","Mitrailleuse américaine unique, développée dans les années d'après-guerre et adoptée par l'Army and Marine Corps en 1957. Pour les défauts de conception et d'apparence, il a reçu le surnom anglais. le cochon - "cochon". Utilise la cartouche 7.62x51 (308win)","Уникальный американский пулемет, разработанный в послевоенные годы и принятый на вооружение армии и морской пехоты в 1957 году. За недостатки конструкции и внешнего вида получил английское прозвище. свинья - «свинья». Использует картридж 7,62x51 (308win)",
"AEK971_01","automatic machine developed in 1978 at the Degtyarev plant in Kovrov under the leadership of Stanislav Ivanovich Koksharov based on the Konstantinov system machine gun, which participated in the 1974 competition. Uses cartridge 5.45x39","automatic machine developed in 1978 at the Degtyarev plant in Kovrov under the leadership of Stanislav Ivanovich Koksharov based on the Konstantinov system machine gun, which participated in the 1974 competition. Uses cartridge 5.45x39","machine automatique développée en 1978 à l'usine Degtyarev de Kovrov sous la direction de Stanislav Ivanovich Koksharov basée sur la mitrailleuse système Konstantinov, qui a participé au concours de 1974. Utilise la cartouche 5.45x39","Автомат разработан в 1978 году на заводе Дегтярева в Коврове под руководством Станислава Ивановича Кокшарова на базе пулемета системы Константинова, участвовавшего в конкурсе 1974 года. Использует патрон 5,45х39",
"AEK971_03","AEK-971 stock","AEK-971 stock","Crosse AEK-971","Сток АЕК-971",
"AEK971_04","AEK-971 assault rifle stock","AEK-971 assault rifle stock","Crosse de fusil d'assaut AEK-971","Приклад для автомата АЕК-971",
"65Creedmore_00","A high-speed and ultra-precise chuck that was developed in the USA in 2006. Used by the army, in sports shooting and hunting","A high-speed and ultra-precise chuck that was developed in the USA in 2006. Used by the army, in sports shooting and hunting","Un mandrin à grande vitesse et ultra-précis qui a été développé aux États-Unis en 2006. Utilisé par l'armée, dans le tir sportif et la chasse","Высокоскоростной сверхточный патрон, разработанный в США в 2006 году. Используется в вооруженных силах, спортивной стрельбе и охоте.",
"65Creedmore_01","Ammo Box 6.5 Creedmoor. Quantity 20 pieces","Ammo Box 6.5 Creedmoor. Quantity 20 pieces","Boîte de munitions 6.5 Creedmoor. Quantité 20 pièces","Ящик с патронами Creedmoor 6.5. Кол-во 20 шт.",
"556х45AP_00","5.56x45AP - armor-piercing","5.56x45AP - armor-piercing","5.56x45AP - perforant","5.56x45AP - перфорация",
"556х45AP_01","Box of armor-piercing cartridges for 20 pieces. Great against light armor","Box of armor-piercing cartridges for 20 pieces. Great against light armor","Boîte de cartouches perforantes pour 20 pièces. Idéal contre les armures légères","Ящик перфорационных патронов на 20 шт. Идеально против легкой брони",
"5556APBox_00","556 AP Box","556 AP Box","Boîte 556 AP","Box 556 AP",
"762x39AP_00","762x39AP - armor piercing","762x39AP - armor piercing","762x39AP - perçage d'armure","762x39AP - бронебойный",
"762x39AP_01","The cartridge was developed in Russia to defeat light armored vehicles of the enemy","The cartridge was developed in Russia to defeat light armored vehicles of the enemy","La cartouche a été développée en Russie pour vaincre les véhicules blindés légers de l'ennemi","Патрон разработан в России для поражения легкой бронетехники противника",
"762x39APBox_00","Box of cartridges 7.62x39AR. Quantity 20 pieces","Box of cartridges 7.62x39AR. Quantity 20 pieces","Boite de cartouches 7.62x39AR. Quantité 20 pièces","Коробка под патроны 7,62х39АР. Кол-во 20 шт.",
"50Beowolf_00","An excellent cartridge for medium range shooting. Huge bullet shell makes opponents bleed profusely and fall into unconsciousness from being hit","An excellent cartridge for medium range shooting. Huge bullet shell makes opponents bleed profusely and fall into unconsciousness from being hit","Une excellente cartouche pour le tir à moyenne distance. Une énorme balle fait saigner abondamment les adversaires et tombent dans l'inconscience après avoir été touchés","Отличный патрон для стрельбы на средние дистанции. Огромная пуля заставляет противников истекать кровью и терять сознание после попадания.",
"50BeowolfBox_00","Box of cartridges 12.7x42. Quantity 10 pieces","Box of cartridges 12.7x42. Quantity 10 pieces","Boite de cartouches 12,7x42. Quantité 10 pièces","Коробка под патроны 12,7х42. Кол-во 10 шт",
"12755_00","The Russian counterpart of the American 12.7x42 caliber, which has a subsonic speed to produce shots with maximum concealment.","The Russian counterpart of the American 12.7x42 caliber, which has a subsonic speed to produce shots with maximum concealment.","L'homologue russe du calibre américain 12,7x42, qui a une vitesse subsonique pour produire des tirs avec une dissimulation maximale.","Российский аналог американского калибра 12,7x42, обладающий дозвуковой скоростью, позволяющей производить выстрелы с максимальной маскировкой.",
"12755BOX_00","Box of cartridges 12.7x55. Number of 10 pieces.","Box of cartridges 12.7x55. Number of 10 pieces.","Boite de cartouches 12,7x55. Nombre de 10 pièces.","Коробка под патроны 12,7х55. Количество 10 шт.",
"50BMG_00","American cartridge designed to defeat light armored vehicles.","American cartridge designed to defeat light armored vehicles.","Cartouche américaine conçue pour vaincre les véhicules blindés légers.","Американский патрон, предназначенный для поражения легкой бронетехники.",
"50BMGBox_00","Box of cartridges 12.7x99. Quantity 5 pieces","Box of cartridges 12.7x99. Quantity 5 pieces","Boite de cartouches 12,7x99. Quantité 5 pièces","Коробка под патроны 12,7х99. Кол-во 5 шт.",
"50BMGAP_00","Armor-piercing cartridge 12.7x99. Perfectly hits opponents through walls or light armored vehicles.","Armor-piercing cartridge 12.7x99. Perfectly hits opponents through walls or light armored vehicles.","Cartouche perforante 12,7x99. Frappe parfaitement les adversaires à travers les murs ou les véhicules blindés légers.","Патрон перфорационный 12,7х99. Отлично поражает противников сквозь стены или легкую бронетехнику.",
"50BMGAPBOX_00","Box of armor-piercing cartridges 12.7x99AR. Quantity 5 pieces","Box of armor-piercing cartridges 12.7x99AR. Quantity 5 pieces","Boîte de cartouches perforantes 12,7x99AR. Quantité 5 pièces","Ящик перфорационных патронов 12,7х99АР. Кол-во 5 шт.",
"300AC_00","American counterpart 9x39. Developed after the release of the screw cutter and shaft. Has almost similar characteristics and is designed for Honey Badger","American counterpart 9x39. Developed after the release of the screw cutter and shaft. Has almost similar characteristics and is designed for Honey Badger","Homologue américain 9x39. Développé après la libération du coupe-vis et de l'arbre. A des caractéristiques presque similaires et est conçu pour Honey Badger","Американский аналог 9х39. Развивается после выпуска фрезы и вала. Имеет практически аналогичные характеристики и предназначен для медового барсука.",
"300ACAP_00","Armor-piercing cartridge, which is designed to disable combat devices","Armor-piercing cartridge, which is designed to disable combat devices","Cartouche perforante, conçue pour désactiver les dispositifs de combat","Бронебойный патрон, предназначенный для отключения боевых устройств.",
"300ACBOX_00","Box of cartridges .300Blackout. Number of 20 pieces.","Box of cartridges .300Blackout. Number of 20 pieces.","Boite de cartouches .300Blackout. Nombre de 20 pièces.","Коробка с патронами .300 Blackout. Кол-во 20 шт.",
"300ACAPBOX_00","Box of .300Blackout armor-piercing rounds. Number of 20 pieces.","Box of .300Blackout armor-piercing rounds. Number of 20 pieces.","Boîte de cartouches perforantes .300Blackout. Nombre de 20 pièces.","Коробка с бронебойными патронами .300 Blackout. Кол-во 20 шт.",
"308AP_00","Armor-piercing .308 caliber, which adds the ability to defeat well-equipped opponents","Armor-piercing .308 caliber, which adds the ability to defeat well-equipped opponents","Calibre .308 perforant, qui ajoute la possibilité de vaincre des adversaires bien équipés","Бронебойный калибр .308, который добавляет возможность поражать хорошо экипированных противников.",
"308APBOX_00","Armor-piercing box Win .308AP. Number of 20 pieces.","Armor-piercing box Win .308AP. Number of 20 pieces.","Boîte de perçage d'armure Win .308AP. Nombre de 20 pièces.","Win .308AP Armor Drill Box. Кол-во 20 шт.",
"338PNCLP_00","Hunting cartridge caliber .338LP","Hunting cartridge caliber .338LP","Cartouche de chasse calibre .338LP","Патрон охотничий калибр .338LP",
"338PNCLPBOX_00","Box of 338LP cartridges in. Quantity 10 pieces","Box of 338LP cartridges in. Quantity 10 pieces","Boite de cartouches 338LP in. Quantité 10 pièces","Коробка с патронами 338LP в. Кол-во 10 шт.",
"408CheytacPN_00","408 Chey Tac, 10.3 × 77 mm) - specialized sniper ammunition for long-range shooting. The cartridge is designed to conduct high-precision sniper shooting up to 3500 m. It was assumed that the maximum firing range of the. 408 Cheyenne Tactical will be 3000 m.","408 Chey Tac, 10.3 × 77 mm) - specialized sniper ammunition for long-range shooting. The cartridge is designed to conduct high-precision sniper shooting up to 3500 m. It was assumed that the maximum firing range of the. 408 Cheyenne Tactical will be 3000 m.","408 Chey Tac, 10,3 × 77 mm) - munitions de tireur d'élite spécialisées pour le tir à longue distance. La cartouche est conçue pour effectuer des tirs de sniper de haute précision jusqu'à 3 500 m. Il a été supposé que la portée de tir maximale du. La 408 Cheyenne Tactical sera à 3000 m.","408 Chey Tac, 10,3 × 77 мм) - снайперские боеприпасы, специализированные для стрельбы на дальние дистанции. Патрон предназначен для ведения высокоточного снайперского огня на дальность до 3500м. Предполагалось, что максимальная дальность стрельбы. 408 Cheyenne Tactical будет на высоте 3000 метров.",
"408ChetacBOXWPN_00","A box chambered for .408 caliber cartridges. Quantity 10 pcs.","A box chambered for .408 caliber cartridges. Quantity 10 pcs.","Une boîte chambrée pour les cartouches de calibre .408. Quantité 10 pièces.","Коробка под патроны калибра .408. Количество 10 шт.",
"AR15BttstckPNC_00","The stock is tactical, a smaller analogue of the conventional AR15 stock. Reduces recoil","The stock is tactical, a smaller analogue of the conventional AR15 stock. Reduces recoil","Le stock est tactique, un analogue plus petit du stock AR15 conventionnel. Réduit le recul","Ложа тактическая, меньший аналог обычной ложи AR15. Уменьшает отдачу",
"AR15Bttstck2PNC_00","Stock for AR15. The version of these butts has an increased weight, but significantly reduces recoil","Stock for AR15. The version of these butts has an increased weight, but significantly reduces recoil","Crosse pour AR15. La version de ces mégots a un poids accru, mais réduit considérablement le recul","Ложа тактическая, меньший аналог обычной ложи AR15. Уменьшает отдачу",
"D60_00","Drum for 5.56x45 caliber. Holds up to 60 rounds","Drum for 5.56x45 caliber. Holds up to 60 rounds","Tambour pour calibre 5.56x45. Peut contenir jusqu'à 60 cartouches","Барабан под калибр 5.56x45. Вмещает до 60 картриджей",
"D100_00","Drum for 100 rounds","Drum for 100 rounds","Tambour pour 100 Balles","Барабан на 100 пуль",
"D100_01","Drums for 5.56x45 caliber. Holds up to 100 cartouches","Drums for 5.56x45 caliber. Holds up to 100 cartouches","Tambours pour calibre 5.56x45. Peut contenir jusqu'à 100 cartouches","Барабаны под калибр 5.56x45. Вмещает до 100 картриджей",
"SUPP9MM_00","Muffler 9mm","Muffler 9mm","Silencieux 9mm","Глушитель 9 мм",
"SUPP9MM_01","Silencer is installed on 9mm caliber weapons","Silencer is installed on 9mm caliber weapons","Le silencieux est installé sur les armes de calibre 9 mm","Глушитель устанавливается на орудия калибра 9мм.",
"SUPP408_00","Muffler .408Cheytac","Muffler .408Cheytac","Silencieux .408Cheytac","Глушитель .408 Cheytac",
"SUPP408_01","Muffler for 408 Cheytac.","Muffler for 408 Cheytac.","Silencieux pour 408 Cheytac.","Глушитель .408 Cheytac",
"SUPP65_00","Silencer 6.5 Creedmoor","Silencer 6.5 Creedmoor","Silencieux 6.5 Creedmoor","Глушитель 6.5 Creedmoor",
"SUPP65_01","Suppressor mounts on 6.5 Creedmoor rifles","Suppressor mounts on 6.5 Creedmoor rifles","Le silencieux se monte sur les fusils Creedmoor 6.5","Глушитель устанавливается на винтовки Creedmoor 6.5.",
"SUPP45ACP_00","Muffler .45acp","Muffler .45acp","Silencieux .45acp","Тихий калибр .45acp",
"SUPP45ACP_01","Suppressor mounted on .45acp weapons","Suppressor mounted on .45acp weapons","Suppresseur monté sur les armes .45acp","Глушитель на орудиях калибра .45ACP.",
"SUPP357_00","Muffler .357","Muffler .357","Silencieux .357","Глушитель .357",
"SUPP357_01","Silencer mounted on .357 caliber weapons","Silencer mounted on .357 caliber weapons","Silencieux monté sur des armes de calibre .357","Глушитель на орудиях калибра .357",
"SUPP76239_00","Muffler 7.62x39","Muffler 7.62x39","Silencieux 7.62x39","Глушитель 7,62x39",
"SUPP76239_01","Silencer for caliber 7.62x39","Silencer for caliber 7.62x39","Silencieux pour calibre 7.62x39","Глушитель на калибр 7.62x39",
"SUPP55645_00","Silencer 5.56x45","Silencer 5.56x45","Silencieux 5.56x45","Глушитель 5.56x45",
"SUPP55645_01","The silencer is installed on weapons of caliber 5.56x45","The silencer is installed on weapons of caliber 5.56x45","Le silencieux est installé sur les armes de calibre 5.56x45","Глушитель устанавливается на ружья калибра 5,56х45.",
"SUPPORIGIN_00","Silencer Origin","Silencer Origin","Silencieux Origine","Оригинальный глушитель",
"SUPPORIGIN_01","Origin Shotgun Silencer","Origin Shotgun Silencer","Silencieux Origin Shotgun","Глушитель для дробовика Origin",
"SUPP308_00","Muffler .308","Muffler .308","Silencieux .308","Глушитель .308",
"SUPP308_01","Silencer mounted on .308 caliber weapons","Silencer mounted on .308 caliber weapons","Silencieux monté sur des armes de calibre .308","Глушитель на орудиях калибра .308",
"SUPP338LP_00","Muffler .338LP","Muffler .338LP","Silencieux .338LP","Глушитель устанавливается на ружья калибра .338LP.",
"SUPP338LP_01","Silencer mounted on .338LP weapon","Silencer mounted on .338LP weapon","Le silencieux est installé sur les armes de calibre .338LP","Глушитель устанавливается на ружья калибра .338LP.",
"AR15308_00","A rifle developed from the AR-15 using the .308 caliber.","A rifle developed from the AR-15 using the .308 caliber.","Un fusil développé à partir de l'AR-15 utilisant le calibre .308.","Винтовка, разработанная на основе AR-15, калибра .308.",
"AR15556_00","AR-15 is an American semi-automatic rifle chambered for 5.56 × 45 mm. Produced since 1963, goes on sale as a civilian weapon for self-defense, hunting, etc., is a regular police weapon. Uses 5.56x45 caliber","AR-15 is an American semi-automatic rifle chambered for 5.56 × 45 mm. Produced since 1963, goes on sale as a civilian weapon for self-defense, hunting, etc., is a regular police weapon. Uses 5.56x45 caliber","L'AR-15 est un fusil semi-automatique américain chambré pour 5,56 × 45 mm. Produit depuis 1963, mis en vente comme arme civile pour l'autodéfense, la chasse, etc., est une arme de police ordinaire. Utilise le calibre 5.56x45","AR-15 - американская полуавтоматическая винтовка под патрон 5,56 × 45 мм. Выпускается с 1963 года, выставляется на продажу как гражданское оружие для самообороны, охоты и т. Д., Является обычным полицейским оружием. Использует калибр 5.56x45.",
"ASH12PNC_00","A special rifle designed for the Russian special services to carry out particularly important operations. Uses a 12.7x55 cartridge.","A special rifle designed for the Russian special services to carry out particularly important operations. Uses a 12.7x55 cartridge.","Un fusil spécial conçu pour les services spéciaux russes pour effectuer des opérations particulièrement importantes. Utilise une cartouche 12,7x55.","Специальная винтовка, предназначенная для российских спецслужб для выполнения особо ответственных операций. Использует патрон 12,7х55.",
"Aurora_00","Experimental sniper rifle. Designed to defeat light armored vehicles and disable important targets. Uses .50BMG AP armor-piercing caliber","Experimental sniper rifle. Designed to defeat light armored vehicles and disable important targets. Uses .50BMG AP armor-piercing caliber","Fusil de sniper expérimental. Conçu pour vaincre les véhicules blindés légers et désactiver les cibles importantes. Utilise le calibre perforant .50BMG AP","Экспериментальная снайперская винтовка. Предназначен для поражения легкой бронетехники и обезвреживания важных целей. Использует бронебойный калибр .50BMG AP.",
"L96A1_00","The Accuracy International L96A1 / Arctic Warfare is a British-made sniper rifle developed by Accuracy International. Uses .338 Lapua Magnum cartridge","The Accuracy International L96A1 / Arctic Warfare is a British-made sniper rifle developed by Accuracy International. Uses .338 Lapua Magnum cartridge","Le Accuracy International L96A1 / Arctic Warfare est un fusil de précision de fabrication britannique développé par Accuracy International. Utilise une cartouche .338 Lapua Magnum","Accuracy International L96A1 / Arctic Warfare - это высокоточная винтовка британского производства, разработанная компанией Accuracy International. Использует патрон .338 Lapua Magnum",
"AX5065_00","The AX Short Action and AXMC (AX Multi Caliber) advanced weapon system provides military, law enforcement and civilian gunners with Accuracy International's latest battle-proven performance: precision, reliability, durability and impeccable quality. The AX is a user-configurable, long-range, mission-adaptable sniper system. Uses 6.5 Creedmoor cartridge","The AX Short Action and AXMC (AX Multi Caliber) advanced weapon system provides military, law enforcement and civilian gunners with Accuracy International's latest battle-proven performance: precision, reliability, durability and impeccable quality. The AX is a user-configurable, long-range, mission-adaptable sniper system. Uses 6.5 Creedmoor cartridge","Le système d'armes avancé AX Short Action et AXMC (AX Multi Caliber) offre aux artilleurs militaires, policiers et civils les dernières performances éprouvées d'Accuracy International : précision, fiabilité, durabilité et qualité irréprochable. L'AX est un système de tireur d'élite configurable par l'utilisateur, à longue portée et adaptable à la mission. Utilise une cartouche Creedmoor 6.5","Усовершенствованная система оружия AX Short Action и AXMC (AX Multi Caliber) предлагает военным, полицейским и гражданским стрелкам новейшие проверенные характеристики от Accuracy International: точность, надежность, долговечность и безупречное качество. AX - это настраиваемая пользователем снайперская система дальнего действия, адаптируемая к заданию. Использует картридж Creedmoor 6.5.",
"M82A2BMG_00","The M107 is an American self-loading large-caliber sniper rifle manufactured by Barrett Firearms Manufacturing and in service with several countries around the world. Uses caliber 12.7x99","The M107 is an American self-loading large-caliber sniper rifle manufactured by Barrett Firearms Manufacturing and in service with several countries around the world. Uses caliber 12.7x99","Le M107 est un fusil de précision américain de gros calibre à chargement automatique fabriqué par Barrett Firearms Manufacturing et en service dans plusieurs pays du monde. Utilise le calibre 12,7x99","M107 - крупнокалиберная самозарядная американская снайперская винтовка, производимая Barrett Firearms Manufacturing и находящаяся на вооружении в нескольких странах мира. Использует калибр 12,7x99",
"50BeowolfW_00","50 Beowulf is an American large-caliber ammunition designed for use in modified AR-15 rifles in 2001. ... The cartridge is developed on the basis of ammunition. 50 Action Express, in terms of its weight and dimensions, is similar to a revolving cartridge. Uses caliber 12.7x42","50 Beowulf is an American large-caliber ammunition designed for use in modified AR-15 rifles in 2001. ... The cartridge is developed on the basis of ammunition. 50 Action Express, in terms of its weight and dimensions, is similar to a revolving cartridge. Uses caliber 12.7x42","50 Beowulf est une munition américaine de gros calibre conçue pour être utilisée dans les fusils AR-15 modifiés en 2001. ... La cartouche est développée sur la base de munitions. 50 Action Express, en termes de poids et de dimensions, est similaire à une cartouche tournante. Utilise le calibre 12,7x42","50 Beowulf - американский боеприпас большого калибра, предназначенный для использования в модернизированных в 2001 году винтовках AR-15. ... Патрон разработан на основе боеприпасов. 50 Action Express по весу и габаритам похож на вращающийся картридж. Использует калибр 12,7x42",
"M300Cheytac_00","CheyTac M300 Intervention - sniper rifle. It is part of the CheyTac LRRS sniper shooting system. Manufactured by CheyTac LLC (USA). Uses special Wildcat sniper cartridges: .408 CheyTac","CheyTac M300 Intervention - sniper rifle. It is part of the CheyTac LRRS sniper shooting system. Manufactured by CheyTac LLC (USA). Uses special Wildcat sniper cartridges: .408 CheyTac","CheyTac M300 Intervention - fusil de sniper. Il fait partie du système de tir de sniper CheyTac LRRS. Fabriqué par CheyTac LLC (États-Unis). Utilise des cartouches de sniper Wildcat spéciales : .408 CheyTac","CheyTac M300 Intervention - снайперская винтовка. Является частью снайперской системы огня CheyTac LRRS. Производство CheyTac LLC (США). Использует специальные снайперские патроны Wildcat: .408 CheyTac.",
"DVL10P_00","DVL-10 M1 "Saboteur" (DVL-10 Saboteur) - Modular tactical light sniper rifle for silent shooting.","DVL-10 M1 "Saboteur" (DVL-10 Saboteur) - Modular tactical light sniper rifle for silent shooting.","DVL-10 M1 "Saboteur" (DVL-10 Saboteur) - Fusil de sniper léger tactique modulaire pour le tir silencieux.","ДВЛ-10 М1 «Диверсант» (DVL-10 Saboteur) - модульная тактическая легкая снайперская винтовка для бесшумной стрельбы.",
"LARPNC_00","LAR is a NATO firearm manufactured in Belgium by Fabrique Nationale de Herstal.","LAR is a NATO firearm manufactured in Belgium by Fabrique Nationale de Herstal.","Le LAR est une arme à feu de l'OTAN fabriquée en Belgique par la Fabrique Nationale de Herstal.","LAR - это огнестрельное оружие НАТО, производимое в Бельгии компанией Fabrique Nationale de Herstal.",
"KIVAARIPNC_00","The Kivaari sniper rifle (which in Finnish means “rifle”) is manufactured in the USA by a small company called DRD Tactical, previously known for producing DRD “Paratus” quick-release rifles in .338 Lapua Magnum","The Kivaari sniper rifle (which in Finnish means “rifle”) is manufactured in the USA by a small company called DRD Tactical, previously known for producing DRD “Paratus” quick-release rifles in .338 Lapua Magnum","Le fusil de sniper Kivaari (qui en finnois signifie "fusil") est fabriqué aux États-Unis par une petite entreprise appelée DRD Tactical, auparavant connue pour produire des fusils à dégagement rapide DRD "Paratus" en .338 Lapua Magnum","Снайперская винтовка Kivaari (что в переводе с финского означает «винтовка») производится в США небольшой компанией DRD Tactical, которая ранее производила быстросъемные винтовки .338 Lapua Magnum DRD «Paratus».",
"M14PNC_00","The M14 is an American automatic rifle in service with the US Army in the late 1950s and 1960s. Uses caliber .308","The M14 is an American automatic rifle in service with the US Army in the late 1950s and 1960s. Uses caliber .308","Le M14 est un fusil automatique américain en service dans l'armée américaine à la fin des années 50 et dans les années 60. Utilise le calibre .308","M14 - американская автоматическая винтовка, состоящая на вооружении армии США в конце 1950-х и 1960-х годах. Использует калибр .308.",
"MK14PNC_00","United States Navy Mark 14 Enhanced Battle Rifle is an American marksman rifle created by the US Navy's Special Operations Forces based on the M14 rifle. Uses caliber .308","United States Navy Mark 14 Enhanced Battle Rifle is an American marksman rifle created by the US Navy's Special Operations Forces based on the M14 rifle. Uses caliber .308","Le fusil de combat amélioré Mark 14 de la marine américaine est un fusil de tireur d'élite américain créé par les forces d'opérations spéciales de la marine américaine sur la base du fusil M14. Utilise le calibre .308","Улучшенная боевая винтовка ВМС США Mark 14 - американская снайперская винтовка, созданная силами специальных операций ВМС США на базе винтовки M14. Использует калибр .308",
"T5000PNC_00","ORSIS T-5000 is a high-precision magazine sniper rifle with a sliding bolt. Produced by the Orsis arms factory of the industrial group. Uses caliber .338LP","ORSIS T-5000 is a high-precision magazine sniper rifle with a sliding bolt. Produced by the Orsis arms factory of the industrial group. Uses caliber .338LP","ORSIS T-5000 est un fusil de sniper de type magazine de haute précision avec un verrou coulissant. Produit par l'usine d'armement Orsis du groupe industriel. Utilise le calibre .338LP","ORSIS T-5000 - высокоточная снайперская винтовка магазинного типа со скользящим затвором. Производится на вооружении завода Orsis промышленной группы. Использует калибр .338LP.",
